Tổng Thời Gian Học (giây),Mức Độ Chăm Chỉ
45272.997,Very High (Outlier)
8012.059,High
7248.137,High
6950.705,High
6719.286,High
6650.945,High
6344.52,Medium-High
6151.995,Medium-High
6033.794,Medium-High
6026.283,Medium-High
5960.603,Medium-High
5749.548,Medium-High
5630.045,Medium-Low
5386.719,Medium-Low
5281.499,Medium-Low
5226.008,Medium-Low
5185.225,Medium-Low
5158.454,Medium-Low
5082.422,Low
4589.387,Low
3658.802,Low
2997.09,Very Low (Outlier)
837.216,Very Low (Outlier)
355.324,Very Low (Outlier)
